"SampleID","totalsamplereads"
"1627_S28_L002",4750349.049
"1628_S29_L002",7800932.249
"1629_S1_L002",5077964.145
"1630_S2_L002",4414388.477
"1634_S22_L002",4573087.358
"1637_S23_L002",5249331.841
"1638_S11_L002",5424988.911
"1639_S12_L002",10266381.874
"1641_S24_L002",6730237.266
"1642_S25_L002",7046052.588
"1643_S26_L002",8728500.023
"1644_S27_L002",9951308.608
"1645_S30_L002",9697232.886
"1646_S31_L002",9855700.165
"1650_S13_L002",7910226.609
"1651_S10_L002",8772160.037
"1652_S14_L002",10021013.635
"1653_S15_L002",6331134.327
"1659_S32_L002",1979736.853
"1662_S3_L002",7732111.647
"1663_S4_L002",10617591.538
"1664_S5_L002",4894615.757
"1665_S6_L002",8151967.284
"1667_S16_L002",8658809.223
"1668_S17_L002",5323687.985
"1669_S18_L002",6424151.019
"1670_S19_L002",5953973.786
"1671_S20_L002",8274317.4
"1672_S21_L002",4423717.483
"1676_S34_L002",8470024.706
"1677_S7_L002",6497672.558
"1678_S8_L002",7948188.619
