"SampleID","KO","count_unscaled","count","TPM_unscaled","TPM"
"1627_S28_L002","K00001",752,471,131.892119,87.8662257222222
"1627_S28_L002","K00002",192,192,32.184953,32.184953
"1627_S28_L002","K00003",266,211,55.230128,42.621669
"1627_S28_L002","K00005",166,166,38.054622,38.054622
"1627_S28_L002","K00008",475,475,71.256075,71.256075
"1627_S28_L002","K00010",249,247,44.004603,43.6511525
"1627_S28_L002","K00012",1688,1603.5,322.730104,307.796815
"1627_S28_L002","K00013",76,76,14.62182,14.62182
"1627_S28_L002","K00014",158,158,36.220664,36.220664
"1627_S28_L002","K00015",190,121.5,28.800452,16.589729
"1627_S28_L002","K00016",274,137,38.158805,19.0794025
"1627_S28_L002","K00018",243,121.5,48.721385,24.3606925
"1627_S28_L002","K00019",225,225,51.58006,51.58006
"1627_S28_L002","K00020",157,145.5,31.654706,29.900023
"1627_S28_L002","K00023",1134,669,139.12777,91.8052485
"1627_S28_L002","K00024",1915,1778,318.185727,299.1063245
"1627_S28_L002","K00025",99,99,22.695226,22.695226
"1627_S28_L002","K00026",1,1,0.099015,0.099015
"1627_S28_L002","K00027",467,414,101.716158,92.3497165
"1627_S28_L002","K00029",653,600,87.352287,77.9858455
"1627_S28_L002","K00030",582,514,103.589655,88.971332
"1627_S28_L002","K00031",2031,2031,309.57924,309.57924
"1627_S28_L002","K00033",1471,1471,292.896435,292.896435
"1627_S28_L002","K00036",3255,3255,565.832995,565.832995
"1627_S28_L002","K00040",142,120.5,21.92418,19.709993
"1627_S28_L002","K00042",23,11.5,3.509366,1.754683
"1627_S28_L002","K00043",142,43,12.268211,3.61230922222222
"1627_S28_L002","K00045",43,21.5,4.428374,2.214187
"1627_S28_L002","K00046",571,571,118.399114,118.399114
"1627_S28_L002","K00052",1688,1688,352.231872,352.231872
"1627_S28_L002","K00053",968,968,167.011785,167.011785
"1627_S28_L002","K00057",158,158,28.376945,28.376945
"1627_S28_L002","K00058",1897,1844,318.205146,306.0551765
"1627_S28_L002","K00059",2824,2256,407.530259,336.5955325
"1627_S28_L002","K00064",99,99,19.046845,19.046845
"1627_S28_L002","K00065",145,145,23.599096,23.599096
"1627_S28_L002","K00066",284,199.5,49.282369,34.34908
"1627_S28_L002","K00067",380,380,74.731605,74.731605
"1627_S28_L002","K00074",1816,1816,340.910358,340.910358
"1627_S28_L002","K00075",138,138,6.394306,6.394306
"1627_S28_L002","K00077",375,375,69.034721,69.034721
"1627_S28_L002","K00087",757,598.333333333333,156.813561,126.228959333333
"1627_S28_L002","K00088",1349,1299,276.583687,265.1214515
"1627_S28_L002","K00091",906,906,155.510905,155.510905
"1627_S28_L002","K00096",87,87,16.738136,16.738136
"1627_S28_L002","K00097",349,298,75.144081,65.8837625
"1627_S28_L002","K00099",246,246,40.824439,40.824439
"1627_S28_L002","K00101",492,219.666666666667,104.01754,45.9719926666667
"1627_S28_L002","K00102",306,306,60.261771,60.261771
"1627_S28_L002","K00104",1336,1169,229.824895,195.926457
"1627_S28_L002","K00106",307,132.333333333333,63.744705,27.0200061666667
"1627_S28_L002","K00108",696,696,107.934269,107.934269
"1627_S28_L002","K00111",303,303,54.994037,54.994037
"1627_S28_L002","K00114",6812,6422.5,990.524459,923.1329602
"1627_S28_L002","K00117",1302,1180.5,210.145313,198.501395
"1627_S28_L002","K00118",105,105,20.201199,20.201199
